nohup: ignoring input
[2026-04-17 17:29:46 UTC][ZED][INFO] Logging level INFO
[2026-04-17 17:29:46 UTC][ZED][INFO] Logging level INFO
[2026-04-17 17:29:46 UTC][ZED][INFO] Logging level INFO
[2026-04-17 17:29:47 UTC][ZED][INFO] Using USB input... Switched to default resolution HD720
[2026-04-17 17:29:47 UTC][ZED][INFO] [Init]  Depth mode: PERFORMANCE
[2026-04-17 17:29:48 UTC][ZED][INFO] [Init]  Camera successfully opened.
[2026-04-17 17:29:48 UTC][ZED][INFO] [Init]  Camera FW version: 1523
[2026-04-17 17:29:48 UTC][ZED][INFO] [Init]  Video mode: HD720@60
[2026-04-17 17:29:48 UTC][ZED][INFO] [Init]  Serial Number: S/N 39159189
[2026-04-17 17:29:49 UTC][ZED][WARNING] [Init]  Self-calibration failed. Point the camera towards a more textured and brighter area. Avoid objects closer than 1 meter (Error code: 0x01) 
[2026-04-17 17:29:49 UTC][ZED][INFO] init
[ZedMapper] ZED 2i initialised, spatial mapping enabled
 * Serving Flask app 'combined_server'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.20.10.4:5000
Press CTRL+C to quit
127.0.0.1 - - [17/Apr/2026 12:30:00] "GET /mesh HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:02] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:02] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:02] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:05] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:05] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:05] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:08] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:08] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:08] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:11] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:11] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:11] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:11] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:14] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:14] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:14] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:17] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:17] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:17] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:20] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:20] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:20] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:23] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:23] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:23] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:26] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:26] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:26] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:29] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:29] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:29] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:32] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:32] "GET /map_status HTTP/1.1" 200 -
